Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITGA6		29	25	3834	0.7%	No
OPRK1		15	15	3709	0.4%	No
IRAK2		17	17	3600	0.5%	No
OPRL1		16	16	3825	0.4%	No
OPRM1		18	18	3885	0.5%	No
IREB2		53	52	4127	1.3%	No
FMO4		20	18	3774	0.5%	No
IRF1		10	10	3372	0.3%	Yes
ISL1		16	16	3895	0.4%	No
ISLR		14	14	3372	0.4%	No
ITGA1		32	29	3825	0.8%	No
EFCAB9		2	2	1082	0.2%	No
ITGA2		22	22	3839	0.6%	No
FNTB		17	17	2301	0.7%	No
CDH12		47	46	3825	1.2%	No
CDH10		36	36	4093	0.9%	No
FNTA		5	4	2108	0.2%	No
CDH9		50	47	4214	1.1%	No
CDH8		53	53	4006	1.3%	No
CDH7		24	21	3941	0.5%	No
FN1		55	55	4149	1.3%	No
CDH6		26	26	3928	0.7%	No
CDH5		10	10	2803	0.4%	No
AFF2		143	137	6550	2.1%	No
CDH4		32	31	4130	0.8%	No
MRGPRX1		17	15	3372	0.4%	No
CDH3		14	14	3533	0.4%	No
FMR1		32	30	4028	0.7%	No
IRF5		12	12	3102	0.4%	No
OR3A1		12	12	3372	0.4%	No
IRF6		12	12	3475	0.3%	No
OR3A2		7	7	3372	0.2%	No
IRF7		4	4	3102	0.1%	No
IRS1		56	48	7413	0.6%	Yes
ORC1		25	24	3688	0.7%	No
ORC2		25	25	4111	0.6%	No
SH3PXD2B		24	23	3475	0.7%	No
ISG20		1	1	216	0.5%	No
CDH11		21	21	3895	0.5%	Yes
NSUN5P2		1	1	982	0.1%	No
PPP1R27		4	4	3372	0.1%	No
CYP4X1		14	14	3609	0.4%	No
ITGA9		30	24	3885	0.6%	No
ITGAD		25	24	4171	0.6%	No
ITGAE		16	14	3709	0.4%	No
ITGAL		24	24	4174	0.6%	No
ITGAM		30	30	3890	0.8%	No
SLX4IP		3	3	526	0.6%	No
GPRIN3		24	23	3929	0.6%	No
CDK7		12	12	3588	0.3%	No
FOS		6	6	1322	0.5%	No
CDK6		16	16	7012	0.2%	Yes
FOLR3		12	12	3475	0.3%	No
CDK5		13	9	3372	0.3%	No
CDK4		10	10	5152	0.2%	Yes
CDK3		5	5	3102	0.2%	No
CDK2		9	9	3874	0.2%	No
FOLR1		4	4	2865	0.1%	No
CDH18		16	16	4214	0.4%	No
CDH17		18	18	3588	0.5%	No
FOLH1		35	35	3688	0.9%	No
CDH16		18	18	3081	0.6%	No
CDH15		17	17	3725	0.5%	No
CDH13		11	11	3688	0.3%	No
ITGA2B		20	20	3993	0.5%	No
ITGA3		22	21	3537	0.6%	No
BOD1L2		6	6	3081	0.2%	No
ITGA4		30	29	4030	0.7%	No
OST4		3	3	2865	0.1%	No
ITGA5		18	17	3748	0.5%	No
DYNAP		3	3	2865	0.1%	No
ITGA7		25	18	3885	0.5%	No
KCTD1		6	6	2666	0.2%	No
METTL24		3	3	1131	0.3%	No
ITGB3		23	23	3925	0.6%	No
ITGB4		44	44	4076	1.1%	No
EIF6		2	2	1799	0.1%	No
COX18		16	16	569	2.8%	No
ITGB5		12	12	3825	0.3%	No
ITGB6		23	21	3394	0.6%	No
ITGB7		16	15	3224	0.5%	No
CDKN3		4	4	1983	0.2%	No
YIPF7		15	15	3925	0.4%	No
CDKN2C		3	3	297	1.0%	Yes
FRYL		44	39	3232	1.2%	No
CDKN2B		2	2	3283	<0.1%	Yes
CDKN2A		77	76	8501	0.9%	Yes
FPR3		11	11	2892	0.4%	No
CDKN1B		131	123	9981	1.2%	Yes
FPR2		11	11	3712	0.3%	No
CDKN1A		23	23	6600	0.3%	Yes
FPR1		10	10	3774	0.3%	No
FPGS		12	12	3588	0.3%	No
CDK9		3	3	2069	0.1%	No
CDK8		23	23	6273	0.4%	Yes
FOSL2		10	9	4011	0.2%	No
FOSB		10	10	3472	0.3%	No
ITGAV		34	29	3674	0.8%	No
ITGAX		40	37	3791	1.0%	No
ITGB1		18	18	3925	0.5%	No
ITGB2		32	32	3825	0.8%	No
MDS2		1	1	100	1.0%	Yes
BOD1L1		55	46	3839	1.2%	No
GOLGA8H		1	1	982	0.1%	No
SERF1B		1	1	817	0.1%	No
RNF175		4	4	1519	0.3%	No
CDX1		2	2	246	0.8%	No
CD52		3	3	1573	0.2%	No
TAS2R43		19	17	3712	0.5%	No
CDSN		3	3	1789	0.2%	No
CDS1		15	15	3825	0.4%	No
TAS2R41		5	5	2865	0.2%	No
TAS2R40		7	7	3588	0.2%	No
TAS2R39		3	3	2036	0.1%	No
CDR2		16	14	3648	0.4%	No
CDR1		10	10	3928	0.3%	No
CDO1		10	10	3472	0.3%	No
ITGB8		19	19	3588	0.5%	No
ITIH1		20	19	3609	0.5%	No
ITIH2		30	24	3697	0.6%	No
ITIH3		20	20	4028	0.5%	No
TAS2R19		8	8	2390	0.3%	No
TAS2R30		4	4	3372	0.1%	No
TAS2R46		7	7	3372	0.2%	No
TAS2R31		19	19	3609	0.5%	No
CEBPG		2	2	337	0.6%	No
CEBPE		3	3	2865	0.1%	No
CEBPA		13	13	2893	0.4%	Yes
TAS2R50		7	7	3318	0.2%	No
TAS2R20		5	5	1347	0.4%	No
CEACAM5		16	16	3834	0.4%	No
CLGN		9	8	3151	0.3%	No
CDX4		10	8	2957	0.3%	No
CDX2		4	4	2865	0.1%	Yes
RDH8		5	5	2925	0.2%	No
CARD18		3	3	2865	0.1%	No
CES1		20	20	3665	0.5%	No
FXN		4	4	2120	0.2%	No
CENPF		57	53	4236	1.3%	No
CENPE		93	83	3925	2.1%	No
ENPP5		19	19	3941	0.5%	No
CENPC		28	24	3664	0.7%	No
PRDM4		17	17	3890	0.4%	No
PRDM5		14	14	3206	0.4%	No
CENPB		11	11	3774	0.3%	No
CENPA		7	7	2677	0.3%	Yes
KIAA1671		5	5	2201	0.2%	No
TXNRD3		4	4	1282	0.3%	No
CEL		22	21	3609	0.6%	No
HNRNPUL1		29	29	3609	0.8%	No
MICALL1		21	19	3111	0.6%	No
TUBGCP6		35	34	3925	0.9%	No
RPP14		4	4	3372	0.1%	No
ATE1		4	4	2367	0.2%	No
RIMBP3		10	10	3475	0.3%	No
PTCHD1		42	39	4111	0.9%	No
KATNA1		11	11	3825	0.3%	No
SSC5D		40	31	4071	0.8%	No
KRR1		3	3	1166	0.3%	No
PRDM7		12	12	4011	0.3%	No
SHC2		11	11	4011	0.3%	No
HMSD		4	2	2048	<0.1%	No
CTSC		5	5	3102	0.2%	No
UHRF2		9	9	2336	0.4%	No
CFL2		3	3	2264	0.1%	No
CFL1		4	4	2930	0.1%	No
CETP		13	13	3658	0.4%	No
KIAA1549L		61	54	4274	1.3%	No
CETN3		5	4	3102	0.1%	No
BTN3A1		16	16	3648	0.4%	No
BTN3A2		6	6	1303	0.5%	No
FRG2B		9	9	2968	0.3%	No
CETN2		7	7	3418	0.2%	No
CETN1		2	2	1166	0.2%	No
STRIP1		22	22	3988	0.6%	No
EMILIN2		23	23	3713	0.6%	No
MYLK2		21	19	3925	0.5%	No
OBSCN		178	152	4230	3.6%	No
CIT		76	73	4176	1.7%	No
ZCCHC3		6	6	2925	0.2%	No
HIBADH		8	8	3081	0.3%	No
ALG2		13	13	3985	0.3%	No
MAGEB10		17	17	3609	0.5%	No
TRIM5		15	12	3558	0.3%	No
EMILIN1		18	18	3486	0.5%	No
SYDE1		23	19	3825	0.5%	No
CEP43		11	7	3081	0.2%	Yes
CFTR		59	54	4176	1.3%	No
MAGT1		7	6	1531	0.4%	No
RBM48		6	6	3318	0.2%	No
DCAF8L1		31	31	3990	0.8%	No
CEACAM8		15	14	3300	0.4%	No
CCDC112		14	14	3588	0.4%	No
CEACAM7		2	2	1082	0.2%	No
UNC13C		55	51	3129	1.6%	No
CEACAM3		9	9	3588	0.3%	No
MALSU1		3	3	2069	0.1%	No
EIF2AK4		34	31	3432	0.9%	No
CGA		3	3	1166	0.3%	No
FHIP1B		28	28	3688	0.8%	No
TEX35		10	10	3609	0.3%	No
PLEKHN1		20	20	3828	0.5%	No
RGS8		8	8	3372	0.2%	No
SLC10A7		9	9	3197	0.3%	No
KIRREL2		22	21	3925	0.5%	No
FAM207A		3	3	2865	0.1%	No
DTNBP1		8	7	3081	0.2%	No
SMIM21		1	1	1066	<0.1%	No
TMEM222		1	1	216	0.5%	No
HDHD2		5	5	2865	0.2%	No
ZADH2		3	3	2865	0.1%	No
OR6C65		4	4	2865	0.1%	No
OR6C68		4	4	2450	0.2%	No
TEX55		23	22	3925	0.6%	No
GOLGA8B		1	1	982	0.1%	No
ADGRV1		145	121	4330	2.8%	No
IGSF11		12	12	3712	0.3%	No
CEACAM4		13	13	3370	0.4%	No
KATNAL1		18	18	3874	0.5%	No
WDR54		9	9	3653	0.2%	No
MND1		11	11	3372	0.3%	No
SIGLEC15		10	10	3825	0.3%	No
NSRP1		5	5	2099	0.2%	No
ENKD1		17	17	2201	0.8%	No
ZRANB3		41	41	3674	1.1%	No
FAM153A		4	4	2865	0.1%	No
ARL10		4	4	3051	0.1%	No
CDNF		4	3	1166	0.3%	No
ALDH16A1		10	10	3267	0.3%	No
CPT1C		32	28	3944	0.7%	No
FBXO30		18	17	3709	0.5%	No
RAB6C		7	7	2865	0.2%	No
FAM186B		16	16	3372	0.5%	No
HORMAD1		23	19	4028	0.5%	No
ARMC2		14	12	2687	0.4%	No
IZUMO2		5	5	353	1.4%	No
PGAM4		9	9	3372	0.3%	No
JOSD2		1	1	1066	<0.1%	No
KBTBD7		10	10	3318	0.3%	No
C3ORF20		18	18	3785	0.5%	No
ANKRD27		27	25	3707	0.7%	No
QRICH2		49	49	4197	1.2%	No
MYCBPAP		30	27	4011	0.7%	No
TKTL2		13	13	3588	0.4%	No
FSCB		14	14	3895	0.4%	No
TMEM192		7	7	2984	0.2%	No
UCN3		1	1	1066	<0.1%	No
SIGLEC11		6	6	2655	0.2%	No
SLC2A13		13	13	3795	0.3%	No
PODN		26	26	3774	0.7%	No
CCDC18		28	28	4176	0.7%	No
TCEANC2		3	3	2865	0.1%	No
CNMD		15	15	3418	0.4%	No
GLRA4		13	13	3430	0.4%	No
SH2D7		3	3	1883	0.2%	No
WWP2		47	43	3748	1.1%	No
SOX30		16	13	3394	0.4%	No
ZNF704		12	12	3124	0.4%	No
DUS4L		2	2	1131	0.2%	No
UBE2C		1	1	216	0.5%	No
CNTRL		64	53	3825	1.4%	Yes
ANO3		16	16	3872	0.4%	No
KIF21B		55	55	4330	1.3%	No
PDS5B		37	37	4088	0.9%	Yes
FNBP1		16	15	4011	0.4%	Yes
SMG1		98	84	4209	2.0%	Yes
OR10J5		11	10	2606	0.4%	No
MYT1L		52	49	3089	1.6%	No
MON2		30	29	4111	0.7%	No
PDXDC1		24	24	3928	0.6%	No
TNIK		39	39	4127	0.9%	No
SNRNP35		9	9	3472	0.3%	No
NEUROG3		9	9	3372	0.3%	No
RAPGEF4		23	23	3988	0.6%	No
RALYL		13	13	3774	0.3%	No
CYB561D2		6	6	2865	0.2%	No
ADGRG4		96	82	4279	1.9%	No
CNTN4		37	34	4111	0.8%	No
TMEM115		3	3	2865	0.1%	No
C16ORF74		1	1	216	0.5%	No
TRIM31		1	1	237	0.4%	No
TOPBP1		49	45	4214	1.1%	No
CDC20B		9	9	3588	0.3%	No
TPPP		6	6	3609	0.2%	No
STMN2		2	2	2509	<0.1%	No
RWDD4		6	6	3318	0.2%	No
KRTCAP3		4	4	1986	0.2%	No
NMNAT2		10	10	3609	0.3%	No
CLUAP1		11	11	3558	0.3%	No
LRRN4		16	15	3993	0.4%	No
ZHX3		18	18	3890	0.5%	No
HGSNAT		23	23	3609	0.6%	No
ENDOD1		3	3	553	0.5%	No
ZSWIM8		58	53	4214	1.3%	No
NCOA6		60	60	4127	1.5%	No
LRRC56		1	1	186	0.5%	No
TRIOBP		45	37	4101	0.9%	No
HSF2BP		9	9	3184	0.3%	No
RER1		3	3	1883	0.2%	No
SEPTIN10		8	7	3588	0.2%	No
B4GAT1		5	5	3472	0.1%	No
PIM2		14	12	3472	0.3%	No
MID2		19	19	4028	0.5%	No
SPTSSB		3	3	2865	0.1%	No
TMCC1		29	29	3777	0.8%	No
SPANXN4		3	3	2555	0.1%	No
BUD23		14	14	3674	0.4%	No
PDZRN3		31	31	3825	0.8%	No
UNC13A		50	50	4214	1.2%	No
MYO16		72	67	4171	1.6%	No
KDM1A		28	28	3599	0.8%	No
RBM34		9	9	3874	0.2%	No
PRIMPOL		18	18	3709	0.5%	No
BAGE2		1	1	1066	<0.1%	No
PAQR8		8	8	1915	0.4%	No
SNRNP200		59	55	4274	1.3%	No
PPIL4		8	8	3588	0.2%	No
PALLD		58	57	6283	0.9%	No
UPK1A		5	5	2965	0.2%	No
TENT4A		11	11	3691	0.3%	No
ADRM1		9	9	3609	0.2%	No
SLC35D2		8	8	3609	0.2%	No
RNF183		6	6	3205	0.2%	No
OR2T3		14	14	2627	0.5%	No
OR2T8		8	8	2120	0.4%	No
OR2W3		7	7	2522	0.3%	No
OR14K1		5	5	3372	0.1%	No
CPSF6		16	16	3588	0.4%	No
RTL8B		4	4	3081	0.1%	No
NUDT21		4	4	3372	0.1%	No
OGFR		13	12	2252	0.5%	No
SAMD4A		26	26	3828	0.7%	No
PHLPP2		37	31	3723	0.8%	No
ZNF292		72	57	3874	1.5%	No
PDZD2		78	76	4176	1.8%	No
WDTC1		17	17	3267	0.5%	No
XPO7		31	31	3774	0.8%	No
B3GALT5-AS1		6	6	2865	0.2%	No
KDM4B		21	21	3890	0.5%	No
MCM3AP-AS1		1	1	982	0.1%	No
MAST3		24	20	3318	0.6%	No
USP33		27	26	3877	0.7%	No
FBF1		33	29	3825	0.8%	No
ZNF813		13	13	3102	0.4%	No
DOP1A		42	42	4088	1.0%	No
DDX52		8	7	3318	0.2%	No
ATCAY		11	11	3475	0.3%	No
ZPBP		9	9	3327	0.3%	No
OR6F1		17	17	3941	0.4%	No
COL27A1		50	48	4093	1.2%	No
ABHD2		18	18	3812	0.5%	No
WWP1		34	30	3774	0.8%	No
OR5H15		14	14	3791	0.4%	No
OR5K3		11	11	3184	0.3%	No
OR5K4		4	4	2865	0.1%	No
RAB35		15	14	5901	0.2%	Yes
WDFY3		82	78	4455	1.8%	No
GPR160		7	7	3609	0.2%	No
DAAM1		32	27	3575	0.8%	No
MAPKBP1		37	33	3985	0.8%	No
PLCH1		50	48	3934	1.2%	No
FETUB		10	9	3825	0.2%	No
KLHDC10		5	5	2771	0.2%	No
CYFIP2		52	48	4171	1.2%	No
OR5H14		5	5	2877	0.2%	No
AKAP8L		17	17	3890	0.4%	No
VAX1		2	2	216	0.9%	No
TDRKH		15	15	3939	0.4%	No
TMPRSS13		14	13	3795	0.3%	No
LILRB3		12	12	3081	0.4%	No
LILRA1		31	27	3437	0.8%	No
B3GNT5		11	8	2865	0.3%	No
LILRA2		19	19	3925	0.5%	No
LILRA3		10	10	3588	0.3%	No
DCAF4L2		69	68	6620	1.0%	No
RAB31		5	5	1382	0.4%	No
STK38L		17	16	3774	0.4%	No
SPEN		329	263	7886	3.3%	Yes
FBXO21		28	26	3839	0.7%	No
GOLGA8A		10	10	2865	0.3%	No
EXOSC7		4	4	3081	0.1%	No
FAIM2		4	4	1252	0.3%	No
CNOT1		56	52	4011	1.3%	No
LGALS12		14	13	3669	0.4%	No
RAB21		12	12	3588	0.3%	No
ADAP1		6	6	1522	0.4%	No
ABCC11		27	27	4111	0.7%	No
RIPK3		16	16	3774	0.4%	No
STON1		9	9	1510	0.6%	No
FUNDC1		9	9	3472	0.3%	No
OR4A47		5	5	2385	0.2%	No
ZNF440		19	18	3960	0.5%	No
MIER3		6	6	3318	0.2%	No
ZNF285		17	17	3521	0.5%	No
IL21		8	8	3709	0.2%	No
TTC23L		10	10	3372	0.3%	No
CHORDC1		15	15	3372	0.4%	No
PARP15		25	23	3618	0.6%	No
CCDC159		12	12	3588	0.3%	No
SWSAP1		12	12	4011	0.3%	No
IL24		10	10	3267	0.3%	No
SHANK3		18	18	4011	0.4%	No
SLC27A2		10	10	3709	0.3%	No
SLC27A3		7	6	2801	0.2%	No
KRTAP4-16		5	5	2306	0.2%	No
SPINK5		35	34	4171	0.8%	No
KIF2C		14	14	4028	0.3%	No
SHISAL1		11	11	3372	0.3%	No
LILRB4		10	10	3391	0.3%	No
TMCO2		3	3	2865	0.1%	No
OR2T35		11	11	3372	0.3%	No
ARSK		19	19	3825	0.5%	No
GLIPR1		12	12	3558	0.3%	No
FAM81B		20	17	3588	0.5%	No
AP3M1		17	17	3688	0.5%	No
PABPC1		16	15	3825	0.4%	No
ZNF491		9	7	3372	0.2%	No
ZNF441		22	18	3609	0.5%	No
SEC22A		5	5	2771	0.2%	No
ZNF684		3	3	2865	0.1%	No
FAM229B		3	3	1573	0.2%	No
LIAS		10	10	3609	0.3%	No
TRIM9		10	10	3825	0.3%	No
KLK11		14	11	2930	0.4%	No
TLK2		19	19	3709	0.5%	No
OR2T27		22	22	2865	0.8%	No
KDELR2		5	5	2865	0.2%	No
TMSB15A		7	7	3372	0.2%	No
ATF7		8	7	3267	0.2%	No
KDELR3		9	9	3577	0.3%	No
TMED1		1	1	1066	<0.1%	No
SNRNP27		7	4	3102	0.1%	No
FAM111A		24	24	3825	0.6%	No
ZNF567		19	16	3911	0.4%	No
MTX3		4	3	1282	0.2%	No
TBC1D3		1	1	982	0.1%	No
KIAA0825		32	32	3925	0.8%	No
GPR150		4	3	453	0.7%	No
SLC17A9		5	5	3081	0.2%	No
VSTM2A		6	6	3418	0.2%	No
DTWD2		20	20	5064	0.4%	No
TTLL9		11	9	3825	0.2%	No
MANBAL		2	2	1303	0.2%	No
DUSP21		15	15	3941	0.4%	No
FAM205A		24	24	3825	0.6%	No
ZNF114		8	8	2099	0.4%	No
GPATCH3		22	18	3825	0.5%	No
IL4I1		7	7	1528	0.5%	No
NAPB		2	2	216	0.9%	No
IL20		4	4	3102	0.1%	No
RELL2		3	3	2390	0.1%	No
ZBED8		20	20	3825	0.5%	No
TNN		50	48	4071	1.2%	No
CHTF18		17	17	3795	0.4%	No
ZNF335		26	26	4053	0.6%	No
CIDEC		2	2	165	1.2%	No
ELMO2		17	17	3777	0.5%	No
BLOC1S5		9	9	3709	0.2%	No
GALNT11		28	28	3939	0.7%	No
FAM174A		9	9	1345	0.7%	No
UBQLN3		11	11	3588	0.3%	No
IL21R		13	13	3874	0.3%	Yes
GALNT9		15	15	3785	0.4%	No
ATP6V0A4		22	22	3795	0.6%	No
IL22		9	9	3472	0.3%	No
DEF6		19	18	3094	0.6%	No
ITSN2		55	49	3977	1.2%	No
STEEP1		9	7	3609	0.2%	No
MRPS14		6	6	2606	0.2%	No
ZNF667		13	12	3552	0.3%	No
MCUR1		3	3	2390	0.1%	No
PCIF1		14	12	3102	0.4%	No
ZNF383		12	12	3267	0.4%	No
ITPA		3	3	2865	0.1%	No
ITPK1		9	9	3609	0.2%	No
ANKEF1		15	15	3604	0.4%	No
ITPKA		7	7	3691	0.2%	No
XPNPEP3		29	27	3874	0.7%	No
ITPKB		39	39	3898	1.0%	No
CHP2		7	7	3102	0.2%	No
ITPR1		82	76	4292	1.8%	No
ITPR2		63	56	4174	1.3%	No
ITIH4		12	12	3691	0.3%	No
CUZD1		7	7	1447	0.5%	No
CYHR1		19	19	3674	0.5%	No
ITK		31	31	3939	0.8%	Yes
STT3A		1	1	1066	<0.1%	No
GEMIN4		20	19	3688	0.5%	No
KANSL1L		14	11	3318	0.3%	No
FAM227A		15	15	2566	0.6%	No
PEG10		15	15	4090	0.4%	No
NECAB3		1	1	982	0.1%	No
GPSM3		4	4	3372	0.1%	No
FKBPL		11	11	3925	0.3%	No
ZNF579		11	11	2066	0.5%	No
SVIP		3	3	2865	0.1%	No
DMRTC1		3	3	2555	0.1%	No
DMRTC2		9	9	3051	0.3%	No
KDM4C		34	32	3712	0.9%	Yes
JAK1		145	131	9878	1.3%	Yes
PPRC1		38	38	3607	1.1%	No
JAK2		70	70	7821	0.9%	Yes
JAK3		77	76	7569	1.0%	Yes
FAM217B		15	15	3558	0.4%	No
ERC1		25	23	3925	0.6%	Yes
EXPH5		37	36	4050	0.9%	No
TRIM35		8	8	3167	0.3%	No
ITPR3		83	77	4204	1.8%	No
IVD		11	11	3588	0.3%	No
IVL		10	10	3504	0.3%	No
JAG2		12	10	3111	0.3%	No
AVL9		21	21	3774	0.6%	No
ANO7		11	9	3588	0.3%	No
FHIP1A		21	20	3825	0.5%	No
DMRTA2		1	1	216	0.5%	No
WDR82P1		2	2	982	0.2%	No
DMRTA1		16	16	3855	0.4%	No
ARHGAP26		25	24	3609	0.7%	Yes
JUNB		3	3	319	0.9%	No
TTLL5		35	33	3874	0.9%	No
JUND		2	2	1252	0.2%	No
SIPA1L3		44	42	4014	1.0%	No
JUP		21	19	3205	0.6%	No
KIF1B		41	41	3885	1.1%	No
IQSEC2		41	38	3954	1.0%	No
CDK19		23	23	3688	0.6%	No
SARM1		24	21	3588	0.6%	No
PNPLA8		17	16	3709	0.4%	No
ZBTB43		15	13	3367	0.4%	No
JARID2		25	25	4179	0.6%	Yes
PLB1		29	28	3504	0.8%	No
ZNF423		33	33	4330	0.8%	No
JUN		45	45	7369	0.6%	Yes
ZC3H13		62	48	4071	1.2%	No
KERA		11	9	3116	0.3%	No
DNAJB4		18	18	3941	0.5%	No
ARHGEF4		24	24	3709	0.6%	No
DIDO1		66	59	4339	1.4%	No
ESM1		1	1	100	1.0%	No
ADAM30		18	18	3872	0.5%	No
ADAM29		36	36	3588	1.0%	No
SETD1B		39	39	4183	0.9%	Yes
ZNF433		9	9	3181	0.3%	No
C2ORF92		1	1	1066	<0.1%	No
CLSPN		25	23	3895	0.6%	No
KCNA2		12	12	3609	0.3%	No
KCNA3		6	6	2865	0.2%	No
ZNF609		28	28	3937	0.7%	No
KCNA4		36	35	4230	0.8%	No
TBC1D9B		31	26	3418	0.8%	No
GGA2		6	6	3472	0.2%	No
WAPL		17	16	3553	0.5%	No
SETX		74	61	3990	1.5%	No
EMC1		26	24	3825	0.6%	No
SLC45A1		21	21	3712	0.6%	No
CAND2		29	26	3925	0.7%	No
ARHGEF3		8	8	3372	0.2%	No
ANOS1		18	18	4011	0.4%	No
CD82		2	2	237	0.8%	No
KARS1		4	4	1252	0.3%	No
KCNA1		34	34	3928	0.9%	No
SPACA9		1	1	103	1.0%	No
WDR5		12	12	3825	0.3%	No
CACFD1		3	3	2306	0.1%	No
ADAMTS13		38	37	3825	1.0%	No
ADAMTS5		37	34	4071	0.8%	No
ADAMTS8		9	9	3413	0.3%	No
PRSS23		7	7	2792	0.3%	No
KCND1		29	29	3807	0.8%	No
KIF13A		61	59	4187	1.4%	No
NUP42		15	14	3777	0.4%	No
VWA8		39	37	3825	1.0%	No
NEUROD6		27	24	3669	0.7%	No
ZNF791		23	20	3488	0.6%	No
NEUROG2		4	4	2884	0.1%	No
RGPD2		7	7	2390	0.3%	No
PRDM16		33	32	4198	0.8%	Yes
TMED4		10	10	3270	0.3%	No
PRDM14		30	28	5107	0.5%	Yes
PRDM15		31	30	4088	0.7%	No
FIGNL1		13	13	3609	0.4%	No
KCNC3		14	10	3081	0.3%	No
CMTR1		18	17	3925	0.4%	No
ZNF709		3	2	2048	<0.1%	No
KCNC4		5	5	3318	0.2%	No
ERP44		5	5	1619	0.3%	No
CST13P		2	2	116	1.7%	No
HECW1		68	65	4093	1.6%	No
ZNF564		15	11	3102	0.4%	No
UHRF1BP1L		46	46	3764	1.2%	No
SWAP70		14	13	3825	0.3%	No
RRP1B		11	11	1705	0.6%	No
MYCBP2		120	102	4409	2.3%	No
KCNA5		33	33	3885	0.8%	No
PTPN21		16	13	3421	0.4%	No
KCNA6		21	18	4076	0.4%	No
KCNA7		13	13	3825	0.3%	No
KCNA10		13	11	3691	0.3%	No
KCNB1		32	32	3488	0.9%	No
KCNC1		12	12	3205	0.4%	No
KCNC2		22	21	3925	0.5%	No
RNF180		13	13	3653	0.4%	No
SREK1IP1		4	4	2615	0.2%	No
KCNJ3		11	11	3658	0.3%	No
ZNF454		26	22	3872	0.6%	No
KCNJ4		11	11	3648	0.3%	No
C5ORF60		25	25	3885	0.6%	No
KCNJ2		24	23	3839	0.6%	No
TMEM145		19	19	3588	0.5%	No
NUTM2E		1	1	817	0.1%	No
PRR19		4	4	2069	0.2%	No
KCND2		28	27	3372	0.8%	No
KCND3		18	18	3367	0.5%	No
KCNE1		1	1	1066	<0.1%	No
KCNF1		13	13	3102	0.4%	No
SSX4B		4	4	3372	0.1%	No
KCNG1		8	8	3372	0.2%	No
KCNH1		35	35	3885	0.9%	No
KCNH2		24	24	3855	0.6%	No
KCNJ1		8	8	3437	0.2%	No
KCNJ14		9	9	3348	0.3%	No
KCNJ15		25	19	3588	0.5%	No
CHD3		55	53	3928	1.3%	No
CHD2		51	46	4274	1.1%	Yes
